,ID,Cluster,Attribute,Value
0,12346.0,2,Recency,1.6066075596100104
1,12347.0,1,Recency,-1.6962395184823975
2,12348.0,0,Recency,0.31761475995472505
3,12349.0,0,Recency,-0.6691457836765755
4,12350.0,2,Recency,1.5602525097444087
5,12352.0,0,Recency,-0.22085597795007575
6,12353.0,2,Recency,1.1643582770068164
7,12354.0,0,Recency,1.2832903391866182
8,12355.0,2,Recency,1.2083299885523966
9,12356.0,0,Recency,-0.5452844977743164
10,12357.0,1,Recency,-0.28029957777922015
11,12358.0,3,Recency,-1.885504510848665
12,12359.0,1,Recency,-1.1866901382320207
13,12360.0,0,Recency,0.040556600720317304
14,12361.0,2,Recency,1.4853569008625458
15,12362.0,1,Recency,-1.5546394542046464
16,12363.0,2,Recency,0.6181844171867154
17,12364.0,3,Recency,-1.1866901382320207
18,12365.0,2,Recency,1.4987376438436149
19,12367.0,3,Recency,-1.4404248324550903
20,12370.0,0,Recency,0.02633641542475426
21,12371.0,0,Recency,-0.0802560087293938
22,12372.0,0,Recency,0.275073267854772
23,12373.0,2,Recency,1.5634010951947814
24,12374.0,3,Recency,-0.4638693889704263
25,12375.0,3,Recency,-1.6962395184823975
26,12377.0,0,Recency,1.5759106037958808
27,12378.0,0,Recency,0.7596714086456136
28,12379.0,0,Recency,0.37800144843771527
29,12380.0,1,Recency,-0.5744272149381294
30,12381.0,1,Recency,-1.4404248324550903
31,12383.0,0,Recency,1.070669170300933
32,12384.0,3,Recency,-0.39005528104434917
33,12386.0,2,Recency,1.64240860709659
34,12388.0,1,Recency,-0.7775000578471131
35,12390.0,0,Recency,0.3583008192712592
36,12391.0,3,Recency,-0.5744272149381294
37,12393.0,0,Recency,0.28589273904089174
38,12394.0,0,Recency,0.18360999496803104
39,12395.0,1,Recency,-0.7775000578471131
40,12397.0,0,Recency,-0.2402018097790708
41,12398.0,0,Recency,-0.06420392116466923
42,12399.0,0,Recency,0.6914268765176805
43,12401.0,2,Recency,1.537969155382983
44,12402.0,2,Recency,1.6005325791024192
45,12403.0,2,Recency,-0.002812887468898055
46,12405.0,0,Recency,0.8779230534713559
47,12406.0,1,Recency,-0.5452844977743164
48,12407.0,0,Recency,-0.002812887468898055
49,12408.0,0,Recency,-0.3011028019982418
50,12409.0,1,Recency,0.34829365487437014
51,12410.0,2,Recency,1.5315227099557611
52,12412.0,0,Recency,0.30716044716959323
53,12413.0,0,Recency,0.2189868760335108
54,12414.0,2,Recency,1.221183632840965
55,12415.0,1,Recency,-0.49008084075026775
56,12417.0,1,Recency,-1.5546394542046464
57,12418.0,0,Recency,0.6407297288932856
58,12420.0,0,Recency,0.18360999496803104
59,12421.0,3,Recency,-0.7775000578471131
60,12422.0,0,Recency,0.5055357900207123
61,12423.0,1,Recency,-2.1830228943756884
62,12424.0,0,Recency,0.957132034151288
63,12425.0,0,Recency,0.34829365487437014
64,12426.0,2,Recency,1.1185312493107062
65,12427.0,3,Recency,-0.9526208224029805
66,12428.0,1,Recency,-0.4638693889704263
67,12429.0,1,Recency,-1.0596740296919258
68,12430.0,3,Recency,-0.09661303367347629
69,12431.0,1,Recency,-0.2402018097790708
70,12432.0,1,Recency,-0.11328792077474163
71,12433.0,1,Recency,-2.1830228943756884
72,12434.0,0,Recency,0.40680277466922937
73,12435.0,0,Recency,0.3583008192712592
74,12436.0,2,Recency,0.5390693890211256
75,12437.0,1,Recency,-1.885504510848665
76,12438.0,1,Recency,-0.8174611051521719
77,12441.0,2,Recency,1.724677228183399
78,12442.0,3,Recency,-1.5546394542046464
79,12444.0,1,Recency,-0.5744272149381294
80,12445.0,3,Recency,-0.5452844977743164
81,12446.0,0,Recency,0.10842381019534048
82,12447.0,2,Recency,1.3267177324179595
83,12448.0,3,Recency,-0.0802560087293938
84,12449.0,1,Recency,-0.5452844977743164
85,12450.0,2,Recency,0.9239197179224288
86,12451.0,1,Recency,-1.004084260859113
87,12452.0,3,Recency,-0.7396006673187627
88,12453.0,0,Recency,0.7921404573451907
89,12454.0,2,Recency,0.05455138847064241
90,12455.0,0,Recency,0.2965874333595891
91,12456.0,0,Recency,-0.0802560087293938
92,12457.0,0,Recency,0.12139887637233604
93,12458.0,0,Recency,0.275073267854772
94,12461.0,0,Recency,0.4969678030864129
95,12462.0,3,Recency,-1.6962395184823975
96,12463.0,0,Recency,-0.04844463890451638
97,12464.0,3,Recency,-1.004084260859113
98,12465.0,3,Recency,-1.1866901382320207
99,12468.0,0,Recency,0.8481017836980191
100,12471.0,1,Recency,-1.6962395184823975
101,12472.0,1,Recency,-0.344363315622694
102,12473.0,1,Recency,-0.36688682616597035
103,12474.0,1,Recency,-0.7035442059944667
104,12475.0,0,Recency,0.05455138847064241
105,12476.0,1,Recency,-1.885504510848665
106,12477.0,1,Recency,-0.5452844977743164
107,12478.0,3,Recency,-1.5546394542046464
108,12479.0,3,Recency,-1.5546394542046464
109,12480.0,1,Recency,-0.39005528104434917
110,12481.0,1,Recency,-0.5452844977743164
111,12483.0,0,Recency,-0.7035442059944667
112,12484.0,1,Recency,-0.3011028019982418
113,12488.0,3,Recency,-1.0596740296919258
114,12489.0,2,Recency,1.6394666541899656
115,12490.0,1,Recency,-1.3441611245040315
116,12491.0,3,Recency,-0.18345658633779405
117,12492.0,2,Recency,0.18360999496803104
118,12493.0,2,Recency,0.9733515942229565
119,12494.0,3,Recency,-1.0596740296919258
120,12497.0,2,Recency,0.37800144843771527
121,12498.0,3,Recency,-0.5744272149381294
122,12500.0,1,Recency,-0.5171956137240235
123,12501.0,0,Recency,1.5759106037958808
124,12502.0,0,Recency,0.5055357900207123
